Attraction,Description,Country,Continent
Riad Kniza Musée & Galerie,"This private museum has been a labour of love for owner Mohammed, who used to run the respected Al Badii antique shop in Gueliz. When his family closed…",Morocco,Africa
Dayet Aoua,"Dayet Aoua is surrounded by woodlands in an area notably rich in bird life. The lake is a popular picnic destination for families on weekends, but during…",Morocco,Africa
Moroccan Culinary Arts Museum,"Claiming to be the first of its kind in Morocco, this large riad museum opened in late 2019 and should be the first stop in Marrakesh for food lovers. Set…",Morocco,Africa
Plaza de España,"Plaza de España is the beating heart of Melilla, with arteries leading to the modernist new town and fortress. It's also where you can catch a bus to the…",Morocco,Africa
Place Hassan II,"The broad and empty Place Hassan II, which is mostly roped off for security reasons, links the medina to the Ensanche. It looks like it houses the Wizard…",Morocco,Africa
El Peñón de Alhucemas,"One of the plazas de soberanía (places of sovereignty), this extraordinary white island fortress can be seen a few hundred metres off Plage Sfiha, along…",Morocco,Africa
Casino Militar,The magnificent two-storey building lining Plaza de España holds free temporary art exhibitions in rooms extending from its Enrique Nieto–designed hall…,Morocco,Africa
Museo de la Legión,"This intriguing museum is dedicated to and run by the Spanish Legion, an army unit set up in 1920 that played a pivotal role in Franco’s republican army…",Morocco,Africa
Zawiya of Sidi Moussa,"For a spectacular sunset, climb the steep but straightforward trail up to the zawiya (shrine) of Sidi Moussa, a local marabout (saint), on a conical…",Morocco,Africa
Plage Sfiha,"A short retreat from the city, wide horseshoe-shaped Plage Sfiha looks out on the Spanish-controlled post-colonial relic, El Peñon de Alhucemas. A couple…",Morocco,Africa
Cuevas del Conventico,"These extensive and well-restored caves were used for storage as well as a refuge during sieges, and pop out at a small beach below the cliffs. The…",Morocco,Africa
Maison Berbère Traditionnelle,"Maison Traditionnelle stands in the largely uninhabited old hilltop village of Tazekka, where bulbous boulders have been incorporated into the pisé …",Morocco,Africa
Tour Hassan,Rabat's must-see sight – along with the neighbouring mausoleum – this iconic tower looms 44m above the Bou Regreg estuary. It was originally part of an…,Morocco,Africa
Quartier Habous,"Built in the 1930s, the Quartier Habous, or Nouvelle Medina (New Medina), was built by the French to solve a housing crisis as the population outgrew the…",Morocco,Africa
Bouhachem Regional Nature Reserve,"One of two parks in the Rif Mountains, Bouhachem is exceptionally beautiful and covers an enormous territory. The forest has various species of oak and…",Morocco,Africa
Souq Joutiya,Turn left outside the Bab Doukkala and around 15 minutes later you’ll reach the industrial quarter’s abandoned warehouses. Take a left past salvaged…,Morocco,Africa
Tamellalt Valley,"Eighteen kilometres from Boumalne you'll find these extraordinary red rock formations that look like wax, melting right into the green carpet of the…",Morocco,Africa
Feddan Park,"Feddan Park used to be what's currently known as Place Hassan II, but it was destroyed following the Spanish protectorate to make room for the Royal…",Morocco,Africa
Palais Al Mansour,"Moulay Ismail's summer palace, built in the countryside in the 17th century, now sits in the middle of the urban fabric of Meknes – there's even a…",Morocco,Africa
Grande & Petite Terrasses,These lofty medina vantage points provide stunning views over Moulay Idriss and the green-roofed mausoleum. The Grande Terrasse is broader and better for…,Morocco,Africa
Jebel Zagora,"This spectacular mountain rises over the Draa River – worth climbing for the views, provided you have stamina, water and sunblock and set off in the early…",Morocco,Africa
Le Châpeau de Napoléon,"These rocks don't look much like Napoleon's hat, to be frank, but they're still weird and impressively massive, soaring above the little town of Aguerd…",Morocco,Africa
Iriqui National Park,"Morocco’s largest national park – covering a land mass of 123,000 hectares – and uniquely Saharan, Iriqui was created in 1994 to protect the biodiversity…",Morocco,Africa
Musée Memoire de Ouarzazate,This kasbah-turned-museum showcases the history and traditions of Southern Morocco's Imazighen (Berbers). Anthropologist Abdelmoula El Moudahab will…,Morocco,Africa
Musée du Parfum,"Formerly the Musée de l'Art Vivre, this small perfume museum explores Morocco's love affair with essential oils. Rooms cover topics such as hammam rituals…",Morocco,Africa
"Museo de Historia, Arqueología y Etnográfico","The fortress' warehouses are now home to two fascinating museums; one dedicated to the history of the Amazigh (Berber), Sephardic (Jewish) and Gitana …",Morocco,Africa
Grotte du Chameau,"Named after the camel-shaped mountain above, Grotte du Chameau is an ancient network of limestone and dolomite caves, once used as shelter by early Homo…",Morocco,Africa
Aït Youl,"Those art-deco tourism posters you’ll see all over Morocco showing a red-and-white kasbah in a rocky oasis aren’t exaggerating: just 6.5km into the gorge,…",Morocco,Africa
Ferkla Oasis,"Take a bike (hire one for Dh80) and tour the Ferkla palmeraie (palm grove) with a local guide (Dh200) from El Khorbat. You'll explore the Ksar Asrir, once…",Morocco,Africa
Had Draa Souq,"The Sunday market at Had Draa, 30km from Essaouira, is the largest in the region, where animals and produce have been traded for centuries. Early risers…",Morocco,Africa
Rada Beach,The wide sweep of Rada Beach – also known as Mounir Beach after the beach’s well-known cafe owner – is 22km from Asilah (7km of it down a dirt road) and…,Morocco,Africa
Grotte des Pigeons,"Follow the throaty pigeon coos up the hill into the oldest known cemetery in North Africa. Traces of 80,000-year-old human remains have been unearthed…",Morocco,Africa
L'Eglise du Sacré Coeur,"Dating from 1930, this blindingly white, Roman Catholic church sits on the edge of Parc de la Ligue Arabe. An extraordinary architectural mix of art deco,…",Morocco,Africa
Bbio Organic Farm,"This idyllic organic farm makes a perfect day out or a pit stop on your way to Marrakesh. Tours (bookings essential) are with the owner Khalid, who will…",Morocco,Africa
Jardin Bio-Aromatique d'Ourika,The organic botanical gardens of a Franco-Moroccan bath-product company combining Amazigh (Berber) herbal remedies with modern aromatherapy make for…,Morocco,Africa
Grottes d’Hercule,"Legend has it that Hercules used his brute strength to rip Europe from Africa, and afterward he rested here. Grottes d'Hercule is comprised of two caves;…",Morocco,Africa
Place Mohammed V,"This perpetually busy square is surrounded by striking public buildings, such as the Wilaya and its clock tower and the Courts of Justice, resplendent…",Morocco,Africa
Museum of History & Civilisation,"Reopened after a major renovation, this small but perfectly formed museum is split in to two sections – the first showcases the history of Morocco through…",Morocco,Africa
Cala Bonita,"Because of its location south of town, Cala Bonita pebble beach manages to avoid some of the crowds, though there are still plenty of umbrellas during…",Morocco,Africa
Playa de la Ensanada de los Galápagos,"Nestled below cliffs and the towering fortress walls is the secluded beach of Playa de la Ensanada de los Galápagos, open from June to September (with…",Morocco,Africa
Ksar Abbar,"About a five-minute drive south-west of the centre, along a dirt track behind the yellow shrine you’ll see the fantastic crumbling towers of this 19th…",Morocco,Africa
Koutoubia Gardens,"Stretching out behind the Koutoubia Mosque, this palm-tree-dotted swath of greenery is a favourite Marrakshi spot for strolling, relaxing on park benches…",Morocco,Africa
Plaza Uta El Hammam,"The bustling heart of the medina is the shady, cobbled Plaza Uta El Hammam, which is lined with cafes and restaurants, all serving similar, rather…",Morocco,Africa
Domaine du Val d'Argan,"In 1994 Charles Melia left Châteauneuf-du-Pape to create Morocco’s southernmost winery, 20km from Essaouira; since then it's grown from five to 50…",Morocco,Africa
Ensanche,"Restored to resemble the era when Tetouan was capital of the Spanish protectorate, this broad boulevard along Ave Mohammed V from Place Al Jala to Place…",Morocco,Africa
Ksar Zenaga,"The largest of the town's seven ksour (fortified villages) is Ksar Zenaga, south below the ridge splitting the oasis. Take the paths following irrigation…",Morocco,Africa
Tanja Marina Bay,"King Mohammed VI's multibillion-dirham plan to reinvigorate Tangier's port is well under way, and his shiny new marina with space for 800 boats is…",Morocco,Africa
Medina,"Oujda's medina is a great slice of tradition and modernity. It isn't large and appeals to local tastes, so don't expect to wade through touts selling…",Morocco,Africa
Plaza de Toros,"Africa's only active bullfighting ring is operational just once a year for Melilla's Virgen de la Victoria festival. Otherwise, the 8,000-person stadium…",Morocco,Africa
Casa de los Dragones,The Casa de los Dragones on Plaza de los Reyes is a fantastic dream that has entered the real world. This former home is an extraordinary example of…,Morocco,Africa
Cathédrale des Rochers,The most-famous peak of the Reserve Naturelle de Tamga absolutely dominates the surrounding landscape – supposedly in the same manner great cathedrals…,Morocco,Africa
Statue Grande Libre,"Melilla's role in modern Spanish history isn't forgotten. The Statue Grande Libre marks 7 July 1936, when Franco began the campaign against the government…",Morocco,Africa
Erg Ezahar,"This tall 'screaming' dune set amid a sea of smaller dunes wails eerily when the wind kicks up. Located 65km southwest of M'Hamid, it takes three days to…",Morocco,Africa
Taforalt,"Taforalt, also known as Tafoughalt, is a somewhat haphazard settlement that arose around a former French military installation. The northern end, which…",Morocco,Africa
Sidi Mghayet Beach,Around 15km from Asilah – including 4km down a dirt road – Sidi Mghayet is one of Asilah’s more remote beaches and one of the quietest. During July and…,Morocco,Africa
Dar El Oddi,"The wealthy El Oddi family graciously opened their sparkling family riad to the public as a cultural centre in 2018, celebrating their beloved Tetouan…",Morocco,Africa
Aljibes de las Peñuelas,"Two of the four tiny doors across the courtyard lead into the cavelike, other-worldly cisterns, which once stored as much as 1000 cubic metres of water…",Morocco,Africa
Ksar Oulad Abdelhalim,"Around 2km south of the yellow shrine on your right, this ruin once called the ‘Alhambra of the Tafilalt’ was built around 1900 for Sultan Moulay Hassan’s…",Morocco,Africa
Oualidia Lagoon,"Oualidia’s languid lagoon and coastal wetlands is a paradise for birdwatchers, playing host to many bird species, both native and migratory, especially in…",Morocco,Africa
Museo de la Basilica Tardorromana,"This superbly executed underground museum is integrated into the architectural remains of an ancient basilica discovered during street work in the 1980s,…",Morocco,Africa
Chrob ou Chouf Fountain,"Marrakesh's medina is dotted with public water fountains, but the Chrob ou Chouf ('Drink or Look') fountain still holds on to shreds of former finery with…",Morocco,Africa
Aftas Beach,"Rocky cliffs frame the soft sand at this beach, popular with footballers and families. The predictable thatch huts and decrepit loungers are available,…",Morocco,Africa
Mendoubia Gardens,"This large park is full of strolling couples and children playing football. The Mendoubia Gardens are flanked by an elegant line of colonial buildings,…",Morocco,Africa
Marigha Salt Mine,"Local villagers mine salt here using traditional methods that have been in use for generations, pulling buckets of mineral-rich water from wells up to 20m…",Morocco,Africa
Rue des Mérinides,"The most architecturally impressive street in the mellah (Jewish quarter) is Rue des Mérinides, lined with houses that are distinguished by their wooden…",Morocco,Africa
Museo Histórico Militar,"Named after a noseless pirate who landed here in 1417, Ceuta's Desnarigado military museum is jam-packed with memorabilia from Ceuta's many battles. An…",Morocco,Africa
Promenade Maritime de la Mosquée Hassan II,One of the city’s major urban regeneration projects has turned the stretch of seafront promenade from the Hassan II Mosque to the El Hank lighthouse in to…,Morocco,Africa
Villa des Arts de Casablanca,"Set in a beautiful art deco villa dating from 1934, this small gallery is operated by the nonprofit Fondation ONA. It stages interesting temporary…",Morocco,Africa
Villa des Arts de Rabat,"This beautifully restored, blindingly white art deco villa dates from 1929 and now holds well-curated contemporary art exhibitions with a focus on…",Morocco,Africa
Oued Ras El Maa,"The waterfall of Ras El Maa is just beyond the far northeastern gate of the Chefchaouen medina. It’s here, where the water comes gushing out of the…",Morocco,Africa
Museo Militar,"Near the Iglesia de la Concepción, the Museo Militar is perched high over the Mediterranean. Its two small rooms are stuffed full of exhibits (all in…",Morocco,Africa
Plage Quemado,"Located in a pretty, steep-sided bay, the yellow sand beach below the Mercure Quemado Resort is a popular hang-out spot in the summer for taking a dip and…",Morocco,Africa
Santuario de Nuestra Señora de África,The striking yellow 17th-century baroque-style church in Plaza de África remains active among Ceuta's Roman Catholic faithful. The altar has a powerful…,Morocco,Africa
Simon Attias Synagogue,"Behind the imposing wooden door (there's no sign) lies a beautifully restored 19th-century synagogue, filled with the scent of fragrant cedar wood. In the…",Morocco,Africa
Catedral Santa Maria de la Asunción,"The yellow-and-white cathedral overlooking Plaza de África is the finest church in Ceuta, with twin spires that host matching bells. At nightfall, the…",Morocco,Africa
Gorge de Miguirne,"Cresting over a small pass, 14km from Boumalne, is the hidden gem of Gorge de Miguirne, which joins the Dadès Gorge from the south. It offers a fine half…",Morocco,Africa
Had Gharbia Souq,"An interesting trip from Asilah is a visit to the lively Sunday market in the village of Had Gharbia, 14km northeast of town, inland off the road to…",Morocco,Africa
El Peñón de Vélez de la Gomera,This tiny island was transformed into a peninsula in the 1930s and ’40s when a sandbank joined it with the mainland. Despite several Moroccan attempts at…,Morocco,Africa
Spanish Mosque,"The mosque was built by the Spanish in the 1920s, but never used. It fell into disrepair and remains closed, but the grounds out front make for a perfect…",Morocco,Africa
Main Post Office,"One of the iconic neo-Moorish buildings around this square, La Poste is the work of Adrien Laforgue who took his inspiration from the Grand'Poste of…",Morocco,Africa
Sidi Bouzid,"The golden crescent of Sidi Bouzid beach, 5km south of El Jadida, is more pristine than the town beach and popular with both sunbathers and surfers. The…",Morocco,Africa
Leather Souq,"Next to Tetouan's tannery, where you can see how the cow hides get their shades, the leather souq features traditional Moroccan shoes, jackets and bags…",Morocco,Africa
Parque Hernández,The spacious palm-lined park right at the heart of the city is perfect for lounging on a bench with a book or zigzagging through the maze of blue and…,Morocco,Africa
Oued Tizguit,"One of the Ramsar sites in the national park, this wetland southeast of Ifrane is home to rare insects (caddisfly and stonefly) and plants (Atlas daisy)…",Morocco,Africa
Port,"The port is mainly used for a large commercial fishing operation. It's a great place to watch the catch being unloaded, and to find dinner: vendors line…",Morocco,Africa
Palacio de la Asamblea,"A striking early 20th-century building with an elegant dome and clock that has served as both a palace and city hall. Inside, find paintings and sketches…",Morocco,Africa
Ait Ben Hmad Igherm,"This 17th-century igherm (collective granary), still in use by the villagers of Amezray, is one of several historical structures in the region to benefit…",Morocco,Africa
Terrasse des Paresseux,"The aptly named 'Idlers’ Terrace' provides sweeping views of the port, Spain and, on a really clear day, Gibraltar. A set of ancient cannons faces the bay…",Morocco,Africa
Grande Mosquée,"Built in 1808 on the ruins of a smaller mosque, the Grand Mosquée has one of the largest minarets in Tetouan – you'll have to tilt your head way up to see…",Morocco,Africa
Iglesia de la Purísima Concepción,"This 17th-century church above Las Cuevas del Conventico is the oldest in the city. Unfortunately, it's only possible to behold from outside as…",Morocco,Africa
Parc Lalla Aicha,"Designed in the 1930s by René Maître, the city's chief architect, this beautiful park lined with magnificent trees and bright flowers is worth a stroll…",Morocco,Africa
Cascades d’Irhoulidene,This splendid waterfall cascades for more than 20m above Azib Tamsoult and makes an excellent full-day hike from Imlil or acclimisation day en route to…,Morocco,Africa
Le Quai Des Créateurs,"Set on the banks of the Bou Regreg River, this low cubist structure hosts pop-up retail space for Moroccan designers, jewellers and artists. East along…",Morocco,Africa
Sidi Bou Abib Mosque,"Built in 1917, this Mauresque-style mosque and its colourful rose, green, blue and white minaret is an attractive sight towering above Grand Socco. Only…",Morocco,Africa
El Mesouiria,"Located just 8km northwest of M'Hamid, El Mesouiria is an option for an easy overnight camel trek. Dunes range between 60m and 80m in height and are…",Morocco,Africa
Playa de la Ribera,Ceuta's urban beach is jam-packed during summer with nearly nude Spaniards and fully clothed Moroccan women. The beach is lined with cafes and bars…,Morocco,Africa
Plage Isri,This 100m-long grey-sand beach is a good option for soaking in some rays outside of the city bustle. A few food shacks along the beach serve fresh catch…,Morocco,Africa
Marabou Beach,"Bisected by a massive, imposing boulder, this beach is petite compared to its neighbours, but the waves are no less intense. Avoid swimming at high tide,…",Morocco,Africa
Erg Esmar,"This collection of small dunes, rising to just 80m, are well off the main radar with no permanent camps. With its mixture of red and white dunes, it's…",Morocco,Africa
Parc de la Ligue Arabe,"Downtown Casablanca's historic green lung has been restored and redeveloped, and is now home to a skate park and stadium, as well as palm-tree-lined…",Morocco,Africa
Mirleft Beach,"Layers of breakers crash on miles of tawny sand at the longest of Mirleft's clutch of wonderful beaches. Thatch huts and loungers are available for Dh5,…",Morocco,Africa
Palm Beach,"A relaxed private beach with showers, toilets and a kids' play area. Seclusion from the main beach means a more serene visit for families and women.",Morocco,Africa
Haroune Aqueduct,"Also known as the Roman aqueduct (though it's not that old), this is a remarkable structure probably built to provide water to Moulay Idriss.",Morocco,Africa
Jewellery Souq,"Tetouan is known for its artisans, and this is the spot in the medina where you'll find a collection of jewellery boutiques.",Morocco,Africa
Ouiouane Lake,"Set in the Ifrane National Park, this Ramsar site is a five-hour walk or 35-minute drive south of Ain Leuh.",Morocco,Africa
Jewish Cemetery,"This area of thousands of blindingly white tombs, all freshly painted in 2019, was established in 1883. You'll find the tombs of a few notables, such as…",Morocco,Africa
Heri Es Souani,"Moulay Ismail considered this early-18th-century complex one of his finest architectural projects, and on paper it's a marvel. The massive, thick-walled,…",Morocco,Africa
Oum Er Rbia Springs,"Several dozen fresh- and salt-water (brine) springs emerge from the rocks to form a series of waterfalls at Oum Er Rbia, and the river cascades down the…",Morocco,Africa
Île de Mogador,"Just off the coast lies the Île de Mogador, which is actually two islands and several tiny islets. They are also known as the famed Îles Purpuraires …",Morocco,Africa
Agdal Garden,"Built in the 12th century by the founder of the Almohad caliphate, Agdal was once the most important garden in Marrakesh. Although the gardens and its…",Morocco,Africa
Skala du Port,"This honey-coloured bastion looms over the picturesque harbour and its sea-blue fishing boats. Look back at the walled medina from here, through a curtain…",Morocco,Africa
Galerie Noir sur Blanc,"This petite 1st-floor gallery showcases Moroccan talent and works from other Arab countries. If you speak French, the well-informed staff can provide…",Morocco,Africa
Fish Souq,"Join the locals and street cats picking up their fresh fish at this small market. For a cheap lunch, buy half a dozen sardines, and for around Dh10 one of…",Morocco,Africa
Matisse Art Gallery,"The small, upmarket Matisse Art Gallery is somewhere you're guaranteed to find Moroccan art. Local artists such as Mahi Binebine and Farid Belkahia have…",Morocco,Africa
Bin El Ouidane,"The dam at Bin El Ouidane provides the majority of the electricity in the region, but more importantly it's the location for the increasingly popular 11…",Morocco,Africa
Grande Mosquée,"From the Petit Socco in the medina, the route leading towards the sea leads east past this grand green-shingled mosque, which at one time housed a…",Morocco,Africa
Galerie Delacroix,"The exhibition hall from the Institut Français hosts temporary exhibitions. It's easy to locate on Rue de la Liberté and free, so it's worth a stop if you…",Morocco,Africa
Sijilmassa,Little remains of the once-great city of Sijilmassa – just two decorated gateways and a handful of semi-collapsed structures. But go back to the 8th…,Morocco,Africa
Moudmame,"If you're desperate to see Azrou's furry famed locals, it's a piece of cake – just outside town, Moudmame (meaning 'hawthorn') is a popular forest picnic…",Morocco,Africa
Monoliths of M’Soura,The mysterious Monoliths of M’Soura make an interesting half-day trip from Asilah. This prehistoric site consists of a large stone circle (actually an…,Morocco,Africa
Musée Saint-Exupéry,Tarfaya's main claim to fame is its association with the French pilot and writer Antoine de Saint-Exupéry. In 1926 he began flying in the airmail service…,Morocco,Africa
Koubbat As Sufara,Moulay Ismail's reception hall for foreign ambassadors is a lovely show of zellige (patterned tile) work. It's here that Unesco officially inscribed…,Morocco,Africa
Carved Gazelles,"The most easily accessible examples of prehistoric rock engravings found in the Tafraoute area are the Carved Gazelles, 2km away in the village of Tazekka…",Morocco,Africa
Kasbah,"If you're getting tired of blue, Chefchaouen's 15th-century clay-brown kasbah contains a lovely Andalusian-style garden, a former prison, the small Center…",Morocco,Africa
Aghmat Archaeological Site,"These excavations, about 200m to the left off the main road, began in 2010 and have revealed ancient urban foundations, including a hammam, grand mosque,…",Morocco,Africa
Palmeraie,"Wrapped up in the legends of Marrakesh's beginnings, this sweep of palm-studded greenery is now the haunt of hotels and chichi holiday homes where…",Morocco,Africa
Medina,"Safi's walled medieval medina is sliced in two by Rue du Souq, which runs northeast from Bab Lamaasa to Bab Chaaba and is lined with shops. On the…",Morocco,Africa
Pierres Bleues,"The bizarrely beautiful Pierres Bleues are the work of Belgian artist Jean Verame, who spray-painted the smooth, rounded boulders in shades of blue, red,…",Morocco,Africa
Ras R'mel Beach,"Larache has a small rubbish-strewn strip of sand below the town, but the best beach is across the Loukos Estuary, an 11km drive from the town centre. In…",Morocco,Africa
Ksar Ait Goulmima,The labyrinthine Ksar Ait Goulmima is a walled village on the southeast end of Goulmima’s oasis that’s home to several hundred people. A local will offer…,Morocco,Africa
Borj Nord,"Sultan Ahmed Al Mansour built this fortress in 1582 to monitor the populace of Fez. Modelled on Italian forts, the building holds a display of European…",Morocco,Africa
Agdal Basin,"Adjacent to the Heri Es Souani lies an enormous stone-lined lake, the Agdal Basin, built in the 18th century as both a reservoir for Moulay Ismail's…",Morocco,Africa
Caïd’s Kasbah,The 170-year-old kasbah that once belonged to the qaid (local chief) of Agdz is still run by his descendants. Stop at the reception of Casbah Caïd Ali…,Morocco,Africa
Source Sidi El Wafi,Follow the flow of locals across the bridge below Tighdouine and up a short track across the valley to the southwest to this small spring said to cure an…,Morocco,Africa
Maison de Poterie,"Abderrahman Bassou will walk you through the rustic pottery-making process, including sitting in a hole in the ground to work the wheel. Oxidised copper…",Morocco,Africa
Source Bleue de Meski,"The origins of the Ziz River can be found in Meski, where warm, natural springs bubble to the surface beneath the Ksar Meski's picturesque remains. The…",Morocco,Africa
Zawiya of Sidi Abdallah Ben Hassoun,"Salé's patron saint, Sidi Abdallah Ibn Hassoun, was a 16th-century Sufi cleric and teacher. He's revered by Moroccan Muslims as a patron of travellers in…",Morocco,Africa
Place Lalla Aouda,"South of Bab El Mansour lies this public garden and car park that's a popular place with local families in the evening – less raucous than Place El Hedim,…",Morocco,Africa
Palais de Raissouli,This palace was built in 1909 by Er Raissouli the pirate and stands as a testament to the sumptuous life he led at the height of his power. Beautifully…,Morocco,Africa
Stone Lion,"Ifrane’s landmark is the stone lion that sits on a patch of grass near the Hôtel Chamonix. It was carved by a German soldier during WWII, when Ifrane was…",Morocco,Africa
Cooperative Al Ouaha,"Seven kinds of date are grown in the Aoufous oasis and in the October and November season, the women of this cooperative in Aoufous will walk you through…",Morocco,Africa
Bab Oudaia,"The most dramatic entry to the kasbah is through the enormous Almohad gate of Bab Oudaia, built in 1195. Its location, facing the heart of the city and…",Morocco,Africa
Plage des Nations,"The clean, sandy strip of beach, around 25km north of Rabat, gets some serious wave action that's good for surfers, but the currents can be dangerous for…",Morocco,Africa
Jardins Exotiques,"Created by French horticulturist Marcel François in 1951, these gardens were declared a Natural Heritage site in 2003. Recently renovated, they're filled…",Morocco,Africa
Bab Er Rih,"The most interesting section of Taza Haute's fortified wall is around Bab Er Rih, from where there are superb views over the surrounding countryside. Look…",Morocco,Africa
Dinosaur Footprints,Geologists claim that tracks imprinted in exposed rock in the village of Tabalout are in fact footprints of the Megalosauripus from the Middle to Upper…,Morocco,Africa
Plaza de los Reyes,"With its green triumphal arch (inscribed ‘a monument to coexistence’) and fountain, this plaza borders the twin-towered yellow Iglesia de San Francisco…",Morocco,Africa
Theatre Royal,"Begun in the 1970s by Tunisian architect Charles Boccara, this grand edifice is a focal point for cultural shows in Marrakesh, despite remaining…",Morocco,Africa
Church of St John the Evangelist,History buffs might be interested in the oldest church building still in use in Casablanca. This Anglican house of worship was built in 1906 on land owned…,Morocco,Africa
Boughlou Pottery Village,"Pottery sits on display along sunny roadsides all the way through Boughlou, whose craftsmen are known in this region for their work. Visit to buy straight…",Morocco,Africa
Mirador de Isabel II,"This is the best view in Ceuta, overlooking the city and the Strait of Gibraltar, where the Atlantic and Mediterranean meet. Locals come to picnic on…",Morocco,Africa
Colline des Potiers,The earthen kilns and chimneys of Potters’ Hill are clearly seen from Bab Chaaba at the edge of the medina. The skills used here are predominantly…,Morocco,Africa
Musée de Meknès,"Housed in the peeling old tribunal building in the imperial city walls, this small museum is long overdue for a refresh, but while the larger Dar Jamaï…",Morocco,Africa
Church of Notre-Dame de Lourdes,"A striking example of European modernist architecture, this 1956 Catholic church is notable for its elongated concrete entrance and its stunning stained…",Morocco,Africa
Al Mutamid Mausoleum,"Al Mutamid’s tomb is marked with an Almoravid-style domed mausoleum. It's signed right off the main road after the commune building, inside a garden…",Morocco,Africa
Archaeology Museum,"A few blocks from Place Al Jala is a small museum with an excellent collection of pottery and mosaics mostly from the Roman ruins at Lixus, displayed both…",Morocco,Africa
Mahakma du Pasha,"It's worth trying to get inside this ornately decorated government building in the Quartier Habous. Built in the 1950s, it’s decorated with carved wooden…",Morocco,Africa
Souq El Ghezel,"This large, tree-shaded square makes an interesting stop on Tuesday and Thursday afternoons when women run an auction and employ men to show off the goods…",Morocco,Africa
Jardin Ibn Zaidoun,This pleasant green oasis in the urban melee is home to dozens of trees towering over families picnicking with their portable shishas. The eucalyptus…,Morocco,Africa
Musée de Cinema,"This small cinema museum is housed in a former studio and exhibits a collection of old film sets, props and cinematic equipment, which visitors are mostly…",Morocco,Africa
Souq As Sebbat,"Recently restored, this covered souq at the eastern end of Rue Souika specialises in jewellery, rugs and leather goods, and is the only part of the medina…",Morocco,Africa
Guigou Sheep Souq,Just over the Guigou River east of the town are the showgrounds that host the livestock market on Sunday mornings. Come early to watch men test-riding…,Morocco,Africa
Ksar Oudaghir,"Close to the upper part of town, to the west of the main road, this ksar boasts a lovely octagonal minaret built in the 11th century. It’s known as the…",Morocco,Africa
Ethnographic Museum,"Inside the Ksar Ouled Driss, 5km before M'Hamid, you'll find this rare example of a 17th-century ksar (fortified village) that still has around 150…",Morocco,Africa
Dar Azaafaran,"This modern information centre is devoted to l'or rouge – red gold, the nickname for saffron – with a small museum, saffron for sale by local cooperatives…",Morocco,Africa
Cylindrical Minaret,"The only cylindrical minaret in Morocco is found at the Sentissi Mosque. Built in 1939, it is covered in pretty green zellige (colourful geometric mosaic…",Morocco,Africa
Paradise Beach,"R’Milat Beach, aka Paradise Beach or Las Cuevas – even Rubbish Beach, after the summer hordes have left – is 7km south of Asilah. It has a string of…",Morocco,Africa
Cèdre de Gouraud,"A spot for viewing Barbary macaques similar to Moudmame, this area has a large car park, picnic tables, toilets and an enormous dead cedar tree. There are…",Morocco,Africa
Beach,"The beach is big and rarely busy. While frequently rough waves make swimming inadvisable, its position beneath dramatic cliffs – as well as its…",Morocco,Africa
Roman Baths,"The Roman Baths have a small circular pool that sometimes has water in it. When it does, it's often full of boys and young men, and women visitors might…",Morocco,Africa
Town Hall,"One of Sidi Ifni's finest Spanish-era buildings, the stately hôtel de ville stands in a garden of cactus and plumbago, facing Place Hassan II. It's washed…",Morocco,Africa
Bastion,"Taza Haute's bastion, where the medina walls jut out to the east, was added to the 12th-century fortifications 400 years later by the Saadians, but it's…",Morocco,Africa
Marina,The city’s most modern attraction is a billion-dirham Dubai-esque pleasure port between the beach and commercial port. As well as mooring for your…,Morocco,Africa
Lovers Park,"On the southern edge of the Tetouan mellah (Jewish quarter) is this lovely tree-filled park, perfect for taking a break from the Ensanche and medina…",Morocco,Africa
Tinfou Dunes,"The great sand seas of M'Hamid and Merzouga can make the Tinfou Dunes, around 7km south of Tamegroute, seem like a child's sandbox – especially on busy…",Morocco,Africa
Ras El Ma,"Climbing out of Taza into the mountains as you travel south on the R507 affords wonderful views. The waterfalls, just outside the park, are at their best…",Morocco,Africa
Théâtre en Plein Air,"This large open-air theatre-in-the-round is for the design-heads. Hemmed in by large magnolia trees and some bougainvillea doing the best it can, the…",Morocco,Africa
Erg Lehoudi,"The 100m-high Erg Lihoudi, located 8km northeast of M'Hamid, are some of the most easily accessible dunes in the area. Characterised by their white river…",Morocco,Africa
Guigou Souq,"The huge main souq takes over the eastern side of this small town on Sundays. In amongst all the fresh produce, seek out the Amazigh women weavers for…",Morocco,Africa
Lookout,"With stunning views over the port and estuary, this lookout is a popular meeting spot. On the way you'll pass the crumbling 17th-century fortification…",Morocco,Africa
Baños Arabes,"Accidentally discovered during street work, these ancient Arab hammams sit on a main road, an incongruous sight. There are two of them, with barrel…",Morocco,Africa
Bab El Kasbah,"Built in the 16th and 17th centuries, a string of mighty defensive towers serve as the city gates. Considered the main gate, the triple-arched Bab El…",Morocco,Africa
Royal Palace,"Trimmed by palm trees, this imposing building is adjacent to the relaxed Place Hassan II (formerly Plaza de España). This building in particular, with its…",Morocco,Africa
Parc Nouzha Bouhyati,"This is a pleasant spot to picnic or have a barbecue in a designated fireplace. There's a children's play area too. The cabin sells tea, cold drinks,…",Morocco,Africa
Ksar El Fida,"This enormous, restored Alaouite kasbah (1854–72) served as the palace for the local qaid (chief) right up until 1965, after which it housed a museum of…",Morocco,Africa
